date,location,secchi
10/23/23,E,3
10/23/23,R,4
11/9/23,B,2
11/9/23,E,2.25
11/9/23,R,2
11/24/23,B,2.6
11/24/23,E,3
11/24/23,R,2.25
12/27/23,B,1
12/27/23,E,1.5
12/27/23,R,2
1/11/24,B,2
1/11/24,E,2
1/11/24,R,1.6
1/26/24,B,1.3
1/26/24,E,1.6
1/26/24,R,1.65
2/12/24,B,3.5
2/12/24,E,2
2/12/24,R,2
3/15/24,B,2.75
3/15/24,E,3
3/15/24,R,3
3/31/24,B,4
3/31/24,E,3.5
3/31/24,R,6
4/16/24,B,3.4
4/16/24,E,4.1
4/16/24,R,5.05
5/3/24,B,3.75
5/3/24,E,3.9
5/3/24,R,3.9
5/17/24,B,3.85
5/17/24,E,3.95
5/17/24,R,3.5
6/3/24,B,4.1
6/3/24,E,4.05
6/3/24,R,4.1
6/20/24,B,3.5
6/20/24,E,3.5
6/20/24,R,3.5
7/4/24,B,3
7/4/24,E,2.6
7/4/24,R,2.6
7/22/24,B,2.9
7/22/24,E,2.1
7/22/24,R,2.1
8/6/24,B,4
8/6/24,E,3
8/6/24,R,2.5
8/22/24,B,2.75
8/22/24,E,2.5
8/22/24,R,3
9/6/24,B,2.65
9/6/24,E,2.1
9/6/24,R,2
9/23/24,B,2.6
9/23/24,E,2.9
9/23/24,R,2.25
10/9/24,B,2
10/9/24,E,2.5
10/9/24,R,2.4
10/25/24,B,2.5
10/25/24,E,2.75
10/25/24,R,4
11/11/24,B,2.75
11/11/24,E,3
11/11/24,R,3.25
11/26/24,B,4.4
11/26/24,E,4.5
11/26/24,R,4.25
12/11/24,B,3.5
12/11/24,E,5.5
12/11/24,R,5.75
1/17/25,B,4.5
1/17/25,E,5.25
1/17/25,R,6.75
1/29/25,B,5
1/29/25,E,4.5
1/29/25,R,4.5
2/14/25,B,3.75
2/14/25,E,5
2/14/25,R,6
3/3/25,B,2.25
3/3/25,E,4
3/3/25,R,5
3/20/25,B,3.5
3/20/25,E,4.5
3/20/25,R,4.5
4/4/25,B,6
4/4/25,E,5.5
4/4/25,R,6.5
9/5/23,B,3.2
9/5/23,E,3
9/5/23,R,2
9/21/23,B,3
9/21/23,E,3.5
9/21/23,R,2.75
4/21/25,B,3.5
4/21/25,E,3.75
4/21/25,R,5.5
5/5/25,B,5.7
5/5/25,E,5
5/5/25,R,5
5/21/25,B,3
5/21/25,E,4
5/21/25,R,4.1
6/6/25,B,5.5
6/6/25,E,5
6/6/25,R,5
7/9/25,B,4.5
7/9/25,E,4.5
7/9/25,R,4.5
