"","date","location","est_secchi_stringent","mission"
"266","1990-04-11","Q",3.4709050655365,"LANDSAT_5"
"267","1990-04-11","R",3.19094491004944,"LANDSAT_5"
"268","1990-04-27","A",3.04916167259216,"LANDSAT_5"
"269","1990-04-27","B",3.07909035682678,"LANDSAT_5"
"270","1990-04-27","C",3.08286237716675,"LANDSAT_5"
"271","1990-04-27","D",3.78993821144104,"LANDSAT_5"
"272","1990-04-27","E",3.32075500488281,"LANDSAT_5"
"273","1990-04-27","F",3.32089376449585,"LANDSAT_5"
"274","1990-04-27","G",3.31425380706787,"LANDSAT_5"
"275","1990-04-27","H",3.43843960762024,"LANDSAT_5"
"276","1990-04-27","I",3.06752228736877,"LANDSAT_5"
"277","1990-04-27","J",3.40453219413757,"LANDSAT_5"
"278","1990-04-27","K",3.13830375671387,"LANDSAT_5"
"279","1990-04-27","L",3.12635850906372,"LANDSAT_5"
"280","1990-04-27","M",2.92898988723755,"LANDSAT_5"
"281","1990-04-27","N",3.35530829429626,"LANDSAT_5"
"282","1990-04-27","O",3.91374635696411,"LANDSAT_5"
"283","1990-04-27","P",3.02945899963379,"LANDSAT_5"
"284","1990-04-27","Q",3.40606045722961,"LANDSAT_5"
"285","1990-04-27","R",3.03072190284729,"LANDSAT_5"
"286","1991-04-30","B",2.75818419456482,"LANDSAT_5"
"287","1991-04-30","C",2.75818419456482,"LANDSAT_5"
"288","1991-04-30","F",2.82252264022827,"LANDSAT_5"
"289","1991-04-30","G",2.75638365745544,"LANDSAT_5"
"290","1991-04-30","H",2.75818419456482,"LANDSAT_5"
"291","1991-04-30","I",2.75818419456482,"LANDSAT_5"
"292","1991-04-30","M",2.82315754890442,"LANDSAT_5"
"293","1991-04-30","O",2.75890684127808,"LANDSAT_5"
"294","1991-06-01","B",2.99449920654297,"LANDSAT_5"
"295","1991-06-01","E",2.98574233055115,"LANDSAT_5"
"296","1991-06-01","F",2.8877739906311,"LANDSAT_5"
"297","1991-06-01","G",2.859206199646,"LANDSAT_5"
"298","1991-06-01","H",2.88302445411682,"LANDSAT_5"
"299","1991-06-01","I",2.96698522567749,"LANDSAT_5"
"300","1991-06-01","J",2.96359872817993,"LANDSAT_5"
"301","1991-06-01","K",2.95504307746887,"LANDSAT_5"
"302","1991-06-01","L",2.47620415687561,"LANDSAT_5"
"303","1991-06-01","M",2.94901919364929,"LANDSAT_5"
"304","1991-06-01","N",3.10712337493896,"LANDSAT_5"
"305","1991-06-01","O",2.84974980354309,"LANDSAT_5"
"306","1991-06-01","P",3.08135533332825,"LANDSAT_5"
"307","1991-06-01","Q",2.80905532836914,"LANDSAT_5"
"308","1991-06-01","R",2.94490647315979,"LANDSAT_5"
"309","1991-06-17","N",2.33730053901672,"LANDSAT_5"
"310","1991-08-20","E",2.69969391822815,"LANDSAT_5"
"311","1991-08-20","G",2.70992493629456,"LANDSAT_5"
"312","1991-08-20","H",2.70992493629456,"LANDSAT_5"
"313","1991-08-20","I",2.69969391822815,"LANDSAT_5"
"314","1991-08-20","K",2.71801686286926,"LANDSAT_5"
"315","1991-08-20","L",2.72663903236389,"LANDSAT_5"
"316","1991-08-20","M",2.72140884399414,"LANDSAT_5"
"317","1991-08-20","P",2.69969391822815,"LANDSAT_5"
"318","1991-08-20","Q",2.69703984260559,"LANDSAT_5"
"319","1991-10-07","J",2.54140663146973,"LANDSAT_5"
"320","1991-10-23","B",2.73159623146057,"LANDSAT_5"
"321","1991-10-23","E",2.73159623146057,"LANDSAT_5"
"322","1991-11-24","F",2.33409976959229,"LANDSAT_5"
"323","1993-02-14","A",3.63798189163208,"LANDSAT_5"
"324","1993-02-14","B",3.48809623718262,"LANDSAT_5"
"325","1993-02-14","C",3.83785557746887,"LANDSAT_5"
"326","1993-02-14","D",3.60620188713074,"LANDSAT_5"
"327","1993-02-14","E",3.70487523078918,"LANDSAT_5"
"328","1993-02-14","F",3.92924618721008,"LANDSAT_5"
"329","1993-02-14","G",3.70507860183716,"LANDSAT_5"
"330","1993-02-14","H",4.0879487991333,"LANDSAT_5"
"331","1993-02-14","I",3.52315068244934,"LANDSAT_5"
"332","1993-02-14","J",3.62950420379639,"LANDSAT_5"
"333","1993-02-14","K",3.54161667823792,"LANDSAT_5"
"334","1993-02-14","L",3.53182315826416,"LANDSAT_5"
"335","1993-02-14","M",3.67913126945496,"LANDSAT_5"
"336","1993-02-14","O",3.83229064941406,"LANDSAT_5"
"337","1993-02-14","P",3.80128192901611,"LANDSAT_5"
"338","1993-02-14","Q",3.85446405410767,"LANDSAT_5"
"339","1993-02-14","R",3.79437398910522,"LANDSAT_5"
"340","1993-03-02","A",3.213458776474,"LANDSAT_5"
"341","1993-03-02","B",3.18438768386841,"LANDSAT_5"
"342","1993-03-02","C",3.16843318939209,"LANDSAT_5"
"343","1993-03-02","D",3.16843318939209,"LANDSAT_5"
"344","1993-03-02","E",3.26402258872986,"LANDSAT_5"
"345","1993-03-02","F",3.34291553497314,"LANDSAT_5"
"346","1993-03-02","G",3.17638874053955,"LANDSAT_5"
"347","1993-03-02","H",3.27871465682983,"LANDSAT_5"
"348","1993-03-02","I",3.22165536880493,"LANDSAT_5"
"349","1993-03-02","J",3.37581706047058,"LANDSAT_5"
"350","1993-03-02","K",3.25616240501404,"LANDSAT_5"
"351","1993-03-02","L",3.27019357681274,"LANDSAT_5"
"352","1993-03-02","M",3.25447249412537,"LANDSAT_5"
"353","1993-03-02","N",2.9679799079895,"LANDSAT_5"
"354","1993-03-02","O",3.22120475769043,"LANDSAT_5"
"355","1993-03-02","P",3.22435879707336,"LANDSAT_5"
"356","1993-03-02","Q",3.22120475769043,"LANDSAT_5"
"357","1993-03-02","R",3.16983199119568,"LANDSAT_5"
"358","1993-04-03","A",3.35749125480652,"LANDSAT_5"
"359","1993-04-03","B",3.7722954750061,"LANDSAT_5"
"360","1993-04-03","C",3.59339761734009,"LANDSAT_5"
"361","1993-04-03","D",3.71521306037903,"LANDSAT_5"
"362","1993-04-03","E",3.60388517379761,"LANDSAT_5"
"363","1993-04-03","F",3.51062822341919,"LANDSAT_5"
"364","1993-04-03","G",3.59443187713623,"LANDSAT_5"
"365","1993-04-03","H",3.69496250152588,"LANDSAT_5"
"366","1993-04-03","I",3.36348247528076,"LANDSAT_5"
"367","1993-04-03","J",3.45632982254028,"LANDSAT_5"
"368","1993-04-03","K",3.68744683265686,"LANDSAT_5"
"369","1993-04-03","L",3.34397339820862,"LANDSAT_5"
"370","1993-04-03","M",3.49105906486511,"LANDSAT_5"
"371","1993-04-03","N",3.37094879150391,"LANDSAT_5"
"372","1993-04-03","O",3.56471705436707,"LANDSAT_5"
"373","1993-04-03","P",3.17901110649109,"LANDSAT_5"
"374","1993-04-03","Q",3.16657662391663,"LANDSAT_5"
"375","1993-04-03","R",3.68552112579346,"LANDSAT_5"
"376","1993-05-05","A",2.74609088897705,"LANDSAT_5"
"377","1993-05-05","B",2.83690285682678,"LANDSAT_5"
"378","1993-05-05","C",2.84954309463501,"LANDSAT_5"
"379","1993-05-05","D",2.69842767715454,"LANDSAT_5"
"380","1993-05-05","E",2.3283576965332,"LANDSAT_5"
"381","1993-05-05","F",2.49342226982117,"LANDSAT_5"
"382","1993-05-05","G",2.40064239501953,"LANDSAT_5"
"383","1993-05-05","H",2.77506422996521,"LANDSAT_5"
"384","1993-05-05","I",2.48098254203796,"LANDSAT_5"
"385","1993-05-05","K",2.31249046325684,"LANDSAT_5"
"386","1993-05-05","O",2.78910565376282,"LANDSAT_5"
"387","1993-05-05","P",2.19262290000916,"LANDSAT_5"
"388","1993-05-05","Q",3.02174305915833,"LANDSAT_5"
"389","1993-05-05","R",2.29191851615906,"LANDSAT_5"
"390","1993-07-24","B",3.25639843940735,"LANDSAT_5"
"391","1993-07-24","E",3.43793344497681,"LANDSAT_5"
"392","1993-07-24","F",3.25577116012573,"LANDSAT_5"
"393","1993-07-24","G",3.38362193107605,"LANDSAT_5"
"394","1993-07-24","I",3.24377584457397,"LANDSAT_5"
"395","1993-07-24","K",3.29568862915039,"LANDSAT_5"
"396","1993-07-24","M",3.34509444236755,"LANDSAT_5"
"397","1993-07-24","Q",3.28389930725098,"LANDSAT_5"
"398","1993-07-24","R",3.4060788154602,"LANDSAT_5"
"399","1993-08-09","A",2.93750071525574,"LANDSAT_5"
"400","1993-08-09","B",2.56007790565491,"LANDSAT_5"
"401","1993-08-09","C",3.32398104667664,"LANDSAT_5"
