date,location,mission,est_secchi_stringent,est_secchi_verystringent,est_secchi_highsecchi,est_secchi_stepwise
2022-06-22,O,LANDSAT_8,3.088880777359009,3.4534199237823486,3.407473087310791,3.065948900431803
2022-06-22,P,LANDSAT_8,2.709380626678467,2.830636978149414,3.2258567810058594,2.704456467028504
2022-06-22,Q,LANDSAT_8,3.0845489501953125,3.215123176574707,3.420717239379883,3.1556080802479696
2022-07-08,K,LANDSAT_8,2.978750228881836,3.1201229095458984,3.369251251220703,2.99084233482672
2022-07-08,R,LANDSAT_8,6.508159637451172,6.119846820831299,6.026516914367676,4.085682037258572
2022-07-24,B,LANDSAT_8,2.505208969116211,2.53726863861084,3.0188302993774414,2.083099257702109
2022-07-24,C,LANDSAT_8,2.497480869293213,2.5559027194976807,3.040754795074463,2.198827172997207
2022-07-24,D,LANDSAT_8,2.4635279178619385,2.5559027194976807,3.138254404067993,2.225436977904988
2022-07-24,F,LANDSAT_8,2.384099006652832,2.5594451427459717,3.0742597579956055,2.188202324329198
2022-07-24,G,LANDSAT_8,2.502286434173584,2.5559027194976807,3.059041976928711,2.4727691688304714
2022-07-24,H,LANDSAT_8,2.349649429321289,2.5594451427459717,3.0742597579956055,2.1888319735901445
2022-07-24,I,LANDSAT_8,2.461909055709839,2.641512632369995,3.1581637859344482,2.443637875102706
2022-07-24,J,LANDSAT_8,2.774977445602417,2.562062978744507,3.100388765335083,2.99292030236906
2022-07-24,K,LANDSAT_8,2.745349168777466,2.5655875205993652,3.102468729019165,2.474375996641856
2022-07-24,M,LANDSAT_8,2.6527047157287598,2.713801860809326,3.1378650665283203,2.6870334211796334
2022-07-24,N,LANDSAT_8,2.774977445602417,2.562062978744507,3.100388765335083,2.9426423000026465
2022-07-24,O,LANDSAT_8,2.504375696182251,2.641512632369995,3.108869791030884,2.651928325810028
2022-07-24,Q,LANDSAT_8,2.57112193107605,2.639603853225708,3.09816837310791,2.69249389869664
2022-07-24,R,LANDSAT_8,2.4669017791748047,2.5353598594665527,3.0277721881866455,2.354257010181622
